index,rank,word,frequency,percentile,distance,probability,distance_probability
90,33016,see,1084286,0.27,2.203035,0.13340611,-0.02849630
91,33015,know,1075612,0.27,2.185003,0.13233890,-0.02867662
92,33014,over,1056659,0.28,2.145602,0.13000700,-0.02907062
93,33013,much,1021822,0.28,2.073181,0.12572080,-0.02979484
94,33012,down,989808,0.28,2.006629,0.12178192,-0.03046036
95,33011,after,978575,0.29,1.983277,0.12039986,-0.03069388
96,33010,first,978196,0.29,1.982489,0.12035323,-0.03070176
97,33009,Mr,974419,0.29,1.974637,0.11988852,-0.03078027
98,33008,good,966602,0.29,1.958387,0.11892675,-0.03094278
33105,1,zoetrope,7,100.00,-0.051022,0.00000086,-0.05103687
